name,image,url,power,size,offers
be quiet! Straight Power 10 400 W 80+ Gold Certified ATX Power Supply (BN230),https://m.media-amazon.com/images/I/41PzKaRSS8L.jpg,https://pcpartpicker.com/product/Qx648d/be-quiet-power-supply-bn230,400,ATX,"[{""retailer"": ""reichelt.de"", ""price"": ""50"", ""url"": ""https://www.gputracker.eu/si-click/6/395710/bqt-bn300-be-quiet-system-power-9-400w-cm""}, {""retailer"": ""computeruniverse.net"", ""price"": ""60"", ""url"": ""https://www.gputracker.eu/si-click/6/3637314/be-quiet-pure-power-11-400-watt-atx-v2-4-netzteil-""}, {""retailer"": ""pskmegastore.com"", ""price"": ""66"", ""url"": ""https://www.gputracker.eu/si-click/6/3111544/be-quiet-system-power-9-400w-cm-unite-dalimentatio""}, {""retailer"": ""pskmegastore.com"", ""price"": ""73"", ""url"": ""https://www.gputracker.eu/si-click/6/3111551/be-quiet-pure-power-11-400w-unite-dalimentation-de""}]"
be quiet! STRAIGHT POWER E9 | 400W 400 W 80+ Gold Certified ATX Power Supply (BN190),https://m.media-amazon.com/images/I/51qg-fzhy8L.jpg,https://pcpartpicker.com/product/Gx7wrH/be-quiet-power-supply-bn190,400,ATX,"[{""retailer"": ""reichelt.de"", ""price"": ""50"", ""url"": ""https://www.gputracker.eu/si-click/6/395710/bqt-bn300-be-quiet-system-power-9-400w-cm""}, {""retailer"": ""computeruniverse.net"", ""price"": ""60"", ""url"": ""https://www.gputracker.eu/si-click/6/3637314/be-quiet-pure-power-11-400-watt-atx-v2-4-netzteil-""}, {""retailer"": ""pskmegastore.com"", ""price"": ""66"", ""url"": ""https://www.gputracker.eu/si-click/6/3111544/be-quiet-system-power-9-400w-cm-unite-dalimentatio""}, {""retailer"": ""pskmegastore.com"", ""price"": ""73"", ""url"": ""https://www.gputracker.eu/si-click/6/3111551/be-quiet-pure-power-11-400w-unite-dalimentation-de""}]"
be quiet! System Power U9 400 W 80+ Bronze Certified ATX Power Supply (BN606),https://cdna.pcpartpicker.com/static/forever/images/product/5f8d4a58bd7d228c83b7156c3c85246e.256p.jpg,https://pcpartpicker.com/product/jTQG3C/be-quiet-system-power-u9-400-w-80-bronze-certified-atx-power-supply-bn606,400,ATX,"[{""retailer"": ""reichelt.de"", ""price"": ""50"", ""url"": ""https://www.gputracker.eu/si-click/6/395710/bqt-bn300-be-quiet-system-power-9-400w-cm""}, {""retailer"": ""computeruniverse.net"", ""price"": ""60"", ""url"": ""https://www.gputracker.eu/si-click/6/3637314/be-quiet-pure-power-11-400-watt-atx-v2-4-netzteil-""}, {""retailer"": ""pskmegastore.com"", ""price"": ""66"", ""url"": ""https://www.gputracker.eu/si-click/6/3111544/be-quiet-system-power-9-400w-cm-unite-dalimentatio""}, {""retailer"": ""pskmegastore.com"", ""price"": ""73"", ""url"": ""https://www.gputracker.eu/si-click/6/3111551/be-quiet-pure-power-11-400w-unite-dalimentation-de""}]"
be quiet! Pure Power 9 400 W 80+ Silver Certified ATX Power Supply (BN262),https://m.media-amazon.com/images/I/41tZVHXxHyL.jpg,https://pcpartpicker.com/product/cYNypg/be-quiet-pure-power-9-400w-80-silver-certified-atx-power-supply-bn262,400,ATX,"[{""retailer"": ""reichelt.de"", ""price"": ""50"", ""url"": ""https://www.gputracker.eu/si-click/6/395710/bqt-bn300-be-quiet-system-power-9-400w-cm""}, {""retailer"": ""computeruniverse.net"", ""price"": ""60"", ""url"": ""https://www.gputracker.eu/si-click/6/3637314/be-quiet-pure-power-11-400-watt-atx-v2-4-netzteil-""}, {""retailer"": ""pskmegastore.com"", ""price"": ""66"", ""url"": ""https://www.gputracker.eu/si-click/6/3111544/be-quiet-system-power-9-400w-cm-unite-dalimentatio""}, {""retailer"": ""pskmegastore.com"", ""price"": ""73"", ""url"": ""https://www.gputracker.eu/si-click/6/3111551/be-quiet-pure-power-11-400w-unite-dalimentation-de""}]"
be quiet! System Power 10 450 W 80+ Bronze Certified ATX Power Supply (BN326),https://cdna.pcpartpicker.com/static/forever/images/product/62626498104ab694ca38b6996eb58acb.256p.jpg,https://pcpartpicker.com/product/BqD7YJ/be-quiet-system-power-10-450-w-80-bronze-certified-atx-power-supply-bn326,450,ATX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""48"", ""url"": ""https://www.gputracker.eu/si-click/6/3637306/be-quiet-system-power-10-450-watt-netzteil-atx-2-5""}, {""retailer"": ""pskmegastore.com"", ""price"": ""63"", ""url"": ""https://www.gputracker.eu/si-click/6/2932804/be-quiet-system-power-10-unite-dalimentation-dener""}, {""retailer"": ""reichelt.de"", ""price"": ""64"", ""url"": ""https://www.gputracker.eu/si-click/6/805568/bqt-bn321-netzteil-be-quiet-sfx-power-3-450w""}, {""retailer"": ""computeruniverse.net"", ""price"": ""65"", ""url"": ""https://www.gputracker.eu/si-click/6/3637325/be-quiet-sfx-power-3-netzteil-450-watt-80-bronze""}, {""retailer"": ""ldlc.com"", ""price"": ""77"", ""url"": ""https://www.gputracker.eu/si-click/6/730856/be-quiet-sfx-power-3-450w-80plus-bronze""}]"
Gigabyte P450B 450 W 80+ Bronze Certified ATX Power Supply (GP-P450B),https://m.media-amazon.com/images/I/41FxTFFeX4L.jpg,https://pcpartpicker.com/product/LZMTwP/gigabyte-p-b-450-w-80-bronze-certified-atx-power-supply-gp-p450b,450,ATX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""40"", ""url"": ""https://www.gputracker.eu/si-click/6/3637305/gigabyte-p450b-450w-atx-netzteil-80-bronze-120-mm-""}, {""retailer"": ""pskmegastore.com"", ""price"": ""49"", ""url"": ""https://www.gputracker.eu/si-click/6/3111512/gigabyte-p450b-unite-dalimentation-denergie-450-w-""}]"
Xilence Performance A+ III 450 W 80+ Bronze Certified ATX Power Supply (XN081),https://cdna.pcpartpicker.com/static/forever/images/product/f74ff60f98730a9b22a4daa3454543a9.256p.jpg,https://pcpartpicker.com/product/33GnTW/xilence-performance-aiii-450-w-80-bronze-certified-atx-power-supply-xn081,450,ATX,"[{""retailer"": ""pskmegastore.com"", ""price"": ""51"", ""url"": ""https://www.gputracker.eu/si-click/6/3704264/xilence-performance-a-xn213-unite-dalimentation-de""}]"
be quiet! Straight Power 11 450W 450 W 80+ Gold Certified Fully Modular ATX Power Supply (BN280),https://cdna.pcpartpicker.com/static/forever/images/product/e440c5a607236b1d9d3fda36c531292c.256p.jpg,https://pcpartpicker.com/product/FF8j4D/be-quiet-straight-power-11-450w-80-gold-certified-fully-modular-atx-power-supply-bn280,450,ATX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""48"", ""url"": ""https://www.gputracker.eu/si-click/6/3637306/be-quiet-system-power-10-450-watt-netzteil-atx-2-5""}, {""retailer"": ""pskmegastore.com"", ""price"": ""63"", ""url"": ""https://www.gputracker.eu/si-click/6/2932804/be-quiet-system-power-10-unite-dalimentation-dener""}, {""retailer"": ""reichelt.de"", ""price"": ""64"", ""url"": ""https://www.gputracker.eu/si-click/6/805568/bqt-bn321-netzteil-be-quiet-sfx-power-3-450w""}, {""retailer"": ""computeruniverse.net"", ""price"": ""65"", ""url"": ""https://www.gputracker.eu/si-click/6/3637325/be-quiet-sfx-power-3-netzteil-450-watt-80-bronze""}, {""retailer"": ""ldlc.com"", ""price"": ""77"", ""url"": ""https://www.gputracker.eu/si-click/6/730856/be-quiet-sfx-power-3-450w-80plus-bronze""}]"
LC-Power LC6450 V2.3 450 W 80+ Bronze Certified ATX Power Supply (LC6450V23),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,https://pcpartpicker.com/product/QJnypg/lc-power-lc6-v23-450-w-80-bronze-certified-atx-power-supply-lc6450v23,450,ATX,"[{""retailer"": ""reichelt.de"", ""price"": ""52"", ""url"": ""https://www.gputracker.eu/si-click/6/3547655/lc6450-v2-3-lc-power-lc6450-v2-3-450-w-bronze""}, {""retailer"": ""pskmegastore.com"", ""price"": ""65"", ""url"": ""https://www.gputracker.eu/si-click/6/3689446/lc-power-lc6450-v2-3-unite-dalimentation-denergie-""}]"
be quiet! STRAIGHT POWER E9 | 450W 450 W 80+ Gold Certified ATX Power Supply (BN191),https://m.media-amazon.com/images/I/51qg-fzhy8L.jpg,https://pcpartpicker.com/product/MwxfrH/be-quiet-power-supply-bn191,450,ATX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""48"", ""url"": ""https://www.gputracker.eu/si-click/6/3637306/be-quiet-system-power-10-450-watt-netzteil-atx-2-5""}, {""retailer"": ""pskmegastore.com"", ""price"": ""63"", ""url"": ""https://www.gputracker.eu/si-click/6/2932804/be-quiet-system-power-10-unite-dalimentation-dener""}, {""retailer"": ""reichelt.de"", ""price"": ""64"", ""url"": ""https://www.gputracker.eu/si-click/6/805568/bqt-bn321-netzteil-be-quiet-sfx-power-3-450w""}, {""retailer"": ""computeruniverse.net"", ""price"": ""65"", ""url"": ""https://www.gputracker.eu/si-click/6/3637325/be-quiet-sfx-power-3-netzteil-450-watt-80-bronze""}, {""retailer"": ""ldlc.com"", ""price"": ""77"", ""url"": ""https://www.gputracker.eu/si-click/6/730856/be-quiet-sfx-power-3-450w-80plus-bronze""}]"
