name,image,url,type,space,offers
Samsung 980 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (MZ-V8V500B/AM),https://cdna.pcpartpicker.com/static/forever/images/product/ca0b46376f072d2483c385bad50c6310.256p.jpg,https://pcpartpicker.com/product/m6rRsY/samsung-980-500-gb-m2-2280-nvme-solid-state-drive-mz-v8v500bam,NVME,500,"[{""retailer"": ""reichelt.de"", ""price"": ""53"", ""url"": ""https://www.gputracker.eu/si-click/4/1446084/mz-v8v500bw-samsung-ssd-980-500gb-m-2-nvme""}, {""retailer"": ""computeruniverse.net"", ""price"": ""59"", ""url"": ""https://www.gputracker.eu/si-click/4/3640333/samsung-980-interne-nvme-ssd-500-gb-m-2-2280-pcie-""}, {""retailer"": ""jacob.de"", ""price"": ""67"", ""url"": ""https://www.gputracker.eu/si-click/4/634687/samsung-980-pcie-3-0-nvme-m-2-ssd-500gb-bis-zu-2-9""}, {""retailer"": ""ldlc.com"", ""price"": ""80"", ""url"": ""https://www.gputracker.eu/si-click/4/633962/samsung-ssd-980-m-2-pcie-nvme-500-go""}]"
Crucial P3 Plus 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (CT500P3PSSD8),https://cdna.pcpartpicker.com/static/forever/images/product/2830bf3ba317c794ccde742efe4304be.256p.jpg,https://pcpartpicker.com/product/vPpzK8/crucial-p3-plus-500-gb-m2-2280-nvme-solid-state-drive-ct500p3pssd8,NVME,500,"[{""retailer"": ""reichelt.de"", ""price"": ""40"", ""url"": ""https://www.gputracker.eu/si-click/4/1861906/ct500p3pssd8-crucial-p3-plus-ssd-500-gb-m-2-nvme""}, {""retailer"": ""computeruniverse.net"", ""price"": ""43"", ""url"": ""https://www.gputracker.eu/si-click/4/3640270/crucial-p3-plus-nvme-ssd-500-gb-m-2-2280-3d-nand-p""}, {""retailer"": ""jacob.de"", ""price"": ""50"", ""url"": ""https://www.gputracker.eu/si-click/4/1738876/crucial-p3-plus-500gb-nvme-m-2-2280ss-ssd-ct500p3p""}]"
PNY CS1030 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (M280CS1030-500-RB),https://m.media-amazon.com/images/I/41vUAyn18JL.jpg,https://pcpartpicker.com/product/VFzFf7/pny-cs1030-500-gb-m2-2280-nvme-solid-state-drive-m280cs1030-500-rb,NVME,500,"[{""retailer"": ""amazon.de"", ""price"": ""32"", ""url"": ""https://www.gputracker.eu/si-click/4/3613071/pny-cs1030-500gb-m-2-nvme-pcie-gen3-x4-2000mbs-les""}, {""retailer"": ""computeruniverse.net"", ""price"": ""34"", ""url"": ""https://www.gputracker.eu/si-click/4/3640257/pny-cs1030-ssd-m-2-pcie-gen3-x4-nvme-500gb""}, {""retailer"": ""jacob.de"", ""price"": ""40"", ""url"": ""https://www.gputracker.eu/si-click/4/1586108/pny-cs1030-m-2-500-gb-pci-express-3-0-3d-nand-nvme""}]"
Western Digital Black SN770 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (WDS500G3X0E),https://cdna.pcpartpicker.com/static/forever/images/product/8fcb88c883df1ee3563538df639a08c8.256p.jpg,https://pcpartpicker.com/product/nWC48d/western-digital-500-gb-m2-2280-nvme-solid-state-drive-wds500g3x0e,NVME,500,"[{""retailer"": ""amazon.de"", ""price"": ""48"", ""url"": ""https://www.gputracker.eu/si-click/4/1500041/western-digital-wd-black-sn770-500gb-nvme-ssd""}, {""retailer"": ""jacob.de"", ""price"": ""62"", ""url"": ""https://www.gputracker.eu/si-click/4/1362082/western-digital-ssd-black-sn770-500gb-nvme-pcie-ge""}, {""retailer"": ""jacob.de"", ""price"": ""83"", ""url"": ""https://www.gputracker.eu/si-click/4/2796176/western-digital-black-ssd-500gb-sn770-nvme-wdbbdl5""}]"
Gigabyte AORUS Gen4 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (GP-AG4500G),https://cdna.pcpartpicker.com/static/forever/images/product/b027f3fe6eebed7fcf692e9cb36990c9.256p.jpg,https://pcpartpicker.com/product/nPjNnQ/gigabyte-aorus-gen4-500-gb-m2-2280-nvme-solid-state-drive-gp-ag4500g,NVME,500,"[{""retailer"": ""computeruniverse.net"", ""price"": ""49"", ""url"": ""https://www.gputracker.eu/si-click/4/3640288/gigabyte-aorus-gen4-5000e-nvme-ssd-500-gb-m-2-2280""}]"
Kingston Fury Renegade 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (SFYRS/500G),https://cdna.pcpartpicker.com/static/forever/images/product/4a39091cc852e56b16b02febdadeb3a7.256p.jpg,https://pcpartpicker.com/product/Kdt9TW/kingston-fury-renegade-500-gb-m2-2280-nvme-solid-state-drive-sfyrs500g,NVME,500,"[{""retailer"": ""computeruniverse.net"", ""price"": ""58"", ""url"": ""https://www.gputracker.eu/si-click/4/3640306/kingston-fury-renegade-nvme-ssd-500-gb-m-2-2280-tl""}, {""retailer"": ""computeruniverse.net"", ""price"": ""59"", ""url"": ""https://www.gputracker.eu/si-click/4/3640338/kingston-fury-renegade-nvme-ssd-500-gb-m-2-2280-tl""}]"
Western Digital Blue 500 GB M.2-2280 SATA Solid State Drive (WDS500G2B0B),https://cdna.pcpartpicker.com/static/forever/images/product/5d75e5e4274a02ca8924d7c4d2a575b2.256p.jpg,https://pcpartpicker.com/product/6j448d/western-digital-blue-500gb-m2-2280-solid-state-drive-wds500g2b0b,NVME,500,"[{""retailer"": ""jacob.de"", ""price"": ""192"", ""url"": ""https://www.gputracker.eu/si-click/4/1204096/western-digital-wd-ssd-blue-sn570-500gb-pcie-gen3-""}]"
Silicon Power UD85 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (SP500GBP44UD8505),https://cdna.pcpartpicker.com/static/forever/images/product/b80655b61313a25a93040d7c5a41e56c.256p.jpg,https://pcpartpicker.com/product/JcfxFT/silicon-power-ud85-500-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sp500gbp44ud8505,NVME,500,"[{""retailer"": ""jacob.de"", ""price"": ""51"", ""url"": ""https://www.gputracker.eu/si-click/4/2288130/silicon-power-ud85-500gb-pcie-nvme-gen4x4-m-2-2280""}]"
Seagate FireCuda 530 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (ZP500GM3A013),https://cdna.pcpartpicker.com/static/forever/images/product/45bb5064d2cbc808e4be407cab78f026.256p.jpg,https://pcpartpicker.com/product/2NxRsY/seagate-firecuda-530-500-gb-m2-2280-nvme-solid-state-drive-zp500gm3a013,NVME,500,"[{""retailer"": ""computeruniverse.net"", ""price"": ""86"", ""url"": ""https://www.gputracker.eu/si-click/4/3640364/seagate-firecuda-530-heatsink-ssd-500-gb-pcie-nvme""}, {""retailer"": ""jacob.de"", ""price"": ""99"", ""url"": ""https://www.gputracker.eu/si-click/4/1003583/seagate-firecuda-530-m-2-500-gb-pci-express-4-0-3d""}]"
HP EX900 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (2YY44AA#ABC),https://cdna.pcpartpicker.com/static/forever/images/product/7689d386638ded96fd6067f7bd43abc6.256p.jpg,https://pcpartpicker.com/product/7stQzy/hp-ex900-500mb-m2-2280-solid-state-drive-2yy44aaabc,NVME,500,"[{""retailer"": ""reichelt.de"", ""price"": ""39"", ""url"": ""https://www.gputracker.eu/si-click/4/181041/hp-2yy44aa-hp-ssd-ex900-m-2-500gb-m-2-nvme""}, {""retailer"": ""amazon.de"", ""price"": ""43"", ""url"": ""https://www.gputracker.eu/si-click/4/453794/ssd-500gb-hp-m-2-pci-e-nvme-ex900-retail""}]"
KIOXIA EXCERIA 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (LRC10Z500GG8),https://cdna.pcpartpicker.com/static/forever/images/product/3d7e87b3dee58a7896f02108d5be325e.256p.jpg,https://pcpartpicker.com/product/ZJrRsY/kioxia-exceria-500-gb-m2-2280-nvme-solid-state-drive-lrc10z500gg8,NVME,500,"[{""retailer"": ""reichelt.de"", ""price"": ""32"", ""url"": ""https://www.gputracker.eu/si-click/4/3648753/lrc20z500gg8-kioxia-exceria-g2-nvme-ssd-500-gb-m-2""}, {""retailer"": ""jacob.de"", ""price"": ""41"", ""url"": ""https://www.gputracker.eu/si-click/4/2879482/kioxia-exceria-g2-m-2-500-gb-pci-express-3-1-bics-""}]"
Silicon Power UD90 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (SP500GBP44UD9005),https://cdna.pcpartpicker.com/static/forever/images/product/2cfc0dd6eb47b5a49a2820fbdd9bab63.256p.jpg,https://pcpartpicker.com/product/YBkWGX/silicon-power-ud90-500-gb-m2-2280-nvme-solid-state-drive-sp500gbp44ud9005,NVME,500,"[{""retailer"": ""jacob.de"", ""price"": ""69"", ""url"": ""https://www.gputracker.eu/si-click/4/2930785/silicon-power-ud90-m-2-500-gb-pci-express-4-0-3d-n""}]"
Gigabyte AORUS Gen4 5000E 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (AG450E500G-G),https://cdna.pcpartpicker.com/static/forever/images/product/12e1b5cc99e503d5168d30f76dccb752.256p.jpg,https://pcpartpicker.com/product/PYJp99/gigabyte-aorus-gen4-5000e-500-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ag450e500g-g,NVME,500,"[{""retailer"": ""computeruniverse.net"", ""price"": ""49"", ""url"": ""https://www.gputracker.eu/si-click/4/3640288/gigabyte-aorus-gen4-5000e-nvme-ssd-500-gb-m-2-2280""}]"
Western Digital Red 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (WDS500G1R0C),https://cdna.pcpartpicker.com/static/forever/images/product/31f80e061466fc1877adcf162b5ddf98.256p.jpg,https://pcpartpicker.com/product/xhYmP6/western-digital-wd-red-sn700-500-gb-m2-2280-nvme-solid-state-drive-wds500g1r0c,NVME,500,"[{""retailer"": ""jacob.de"", ""price"": ""69"", ""url"": ""https://www.gputracker.eu/si-click/4/1136341/western-digital-ssd-red-sn700-500gb-nvme-m-2-pcie-""}]"
Gigabyte AORUS 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (GP-ASM2NE6500GTTD),https://cdna.pcpartpicker.com/static/forever/images/product/05f92bfac89c39f6204a970fd3877587.256p.jpg,https://pcpartpicker.com/product/88YQzy/gigabyte-aorus-500-gb-m2-2280-nvme-solid-state-drive-gp-asm2ne6500gttd,NVME,500,"[{""retailer"": ""computeruniverse.net"", ""price"": ""49"", ""url"": ""https://www.gputracker.eu/si-click/4/3640288/gigabyte-aorus-gen4-5000e-nvme-ssd-500-gb-m-2-2280""}]"
ADATA Legend 800 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (ALEG-800-500GCS),https://cdna.pcpartpicker.com/static/forever/images/product/9e7a250a3aa568063b40f67f2aeecf9f.256p.jpg,https://pcpartpicker.com/product/rsYRsY/adata-legend-800-500-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-aleg-800-500gcs,NVME,500,"[{""retailer"": ""computeruniverse.net"", ""price"": ""38"", ""url"": ""https://www.gputracker.eu/si-click/4/3640264/adata-legend-800-m-2-ssd-500gb-nvme-pcie-4-0-x4-3d""}]"
PNY CS2230 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (M280CS2230-500-RB),https://m.media-amazon.com/images/I/41Fcf5hPCHL.jpg,https://pcpartpicker.com/product/6K88TW/pny-cs2230-500-gb-m2-2280-pcie-30-x4-nvme-solid-state-drive-m280cs2230-500-rb,NVME,500,"[{""retailer"": ""jacob.de"", ""price"": ""59"", ""url"": ""https://www.gputracker.eu/si-click/4/2338428/pny-cs2230-m-2-500-gb-pci-express-3-0-3d-nand-nvme""}]"
ADATA XPG SPECTRIX S20G 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (ASPECTRIXS20G-500G-C),https://cdna.pcpartpicker.com/static/forever/images/product/72b819ee11d2566cc8e1c02cda33fa10.256p.jpg,https://pcpartpicker.com/product/prKKHx/adata-xpg-spectrix-s20g-500-gb-m2-2280-nvme-solid-state-drive-aspectrixs20g-500g-c,NVME,500,"[{""retailer"": ""jacob.de"", ""price"": ""56"", ""url"": ""https://www.gputracker.eu/si-click/4/815720/ssd-500gb-adata-m-2-pci-e-nvme-xpg-spectrix-s20g-r""}]"
PNY XLR8 CS3030 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (M280CS3030-500-RB),https://cdna.pcpartpicker.com/static/forever/images/product/a8a23703b2021a75e31ca15ce00b9102.256p.jpg,https://pcpartpicker.com/product/YKZzK8/pny-xlr8-cs3030-500-gb-m2-2280-nvme-solid-state-drive-m280cs3030-500-rb,NVME,500,"[{""retailer"": ""amazon.de"", ""price"": ""49"", ""url"": ""https://www.gputracker.eu/si-click/4/453838/pny-xlr8-cs3030-m-2-nvme-500gb-ssd-bis-zu-3-500-mb""}]"
PNY CS2140 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (M280CS2140-500-RB),https://cdna.pcpartpicker.com/static/forever/images/product/d46e6931e1bc0a97166ac4efa9eb0f94.256p.jpg,https://pcpartpicker.com/product/k2ddnQ/pny-cs2140-500-gb-m2-2280-nvme-solid-state-drive-m280cs2140-500-rb,NVME,500,"[{""retailer"": ""jacob.de"", ""price"": ""49"", ""url"": ""https://www.gputracker.eu/si-click/4/1776636/pny-cs2140-m-2-500-gb-pci-express-4-0-3d-nand-nvme""}]"
Lexar NM710 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (LNM710X500G-RNNNG),https://m.media-amazon.com/images/I/41Sre26GwBL.jpg,https://pcpartpicker.com/product/7Y9wrH/lexar-nm710-500-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-lnm710x500g-rnnng,NVME,500,"[{""retailer"": ""jacob.de"", ""price"": ""56"", ""url"": ""https://www.gputracker.eu/si-click/4/2163648/ssd-m-2-lexar-500gb-nm710-pcie-gen4x4-nvme-lnm710x""}]"
