name,image,url,size,offers
Fractal Design Era ITX Mini ITX Desktop Case (FD-CA-ERA-ITX-SI),https://cdna.pcpartpicker.com/static/forever/images/product/b0dc3b6646242c647ff670953e0beba7.256p.jpg,https://pcpartpicker.com/product/3GH8TW/fractal-design-era-itx-mini-itx-desktop-case-fd-ca-era-itx-si,ITX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""200"", ""url"": ""https://www.gputracker.eu/si-click/7/3639380/fractal-design-era-2-silver-mini-itx-gaming-design""}, {""retailer"": ""computeruniverse.net"", ""price"": ""220"", ""url"": ""https://www.gputracker.eu/si-click/7/3639381/fractal-design-era-2-charcoal-gray-mini-itx-gaming""}, {""retailer"": ""computeruniverse.net"", ""price"": ""220"", ""url"": ""https://www.gputracker.eu/si-click/7/3639382/fractal-design-era-2-midnight-blue-mini-itx-gaming""}, {""retailer"": ""ldlc.com"", ""price"": ""270"", ""url"": ""https://www.gputracker.eu/si-click/7/3477872/fractal-design-era-2-argent""}, {""retailer"": ""ldlc.com"", ""price"": ""270"", ""url"": ""https://www.gputracker.eu/si-click/7/3477874/fractal-design-era-2-noir""}]"
Fractal Design Era ITX Mini ITX Desktop Case (FD-CA-ERA-ITX-CHP),https://cdna.pcpartpicker.com/static/forever/images/product/141426d72fe79397d4e8e1df596c5d29.256p.jpg,https://pcpartpicker.com/product/FLjNnQ/fractal-design-era-itx-mini-itx-desktop-case-fd-ca-era-itx-chp,ITX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""200"", ""url"": ""https://www.gputracker.eu/si-click/7/3639380/fractal-design-era-2-silver-mini-itx-gaming-design""}, {""retailer"": ""computeruniverse.net"", ""price"": ""220"", ""url"": ""https://www.gputracker.eu/si-click/7/3639381/fractal-design-era-2-charcoal-gray-mini-itx-gaming""}, {""retailer"": ""computeruniverse.net"", ""price"": ""220"", ""url"": ""https://www.gputracker.eu/si-click/7/3639382/fractal-design-era-2-midnight-blue-mini-itx-gaming""}, {""retailer"": ""ldlc.com"", ""price"": ""270"", ""url"": ""https://www.gputracker.eu/si-click/7/3477872/fractal-design-era-2-argent""}, {""retailer"": ""ldlc.com"", ""price"": ""270"", ""url"": ""https://www.gputracker.eu/si-click/7/3477874/fractal-design-era-2-noir""}]"
Fractal Design Era ITX Mini ITX Desktop Case (FD-CA-ERA-ITX-BU),https://cdna.pcpartpicker.com/static/forever/images/product/bf307036e97d6a95db9a8f1d7567b9b3.256p.jpg,https://pcpartpicker.com/product/Q2TzK8/fractal-design-era-itx-mini-itx-desktop-case-fd-ca-era-itx-bu,ITX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""200"", ""url"": ""https://www.gputracker.eu/si-click/7/3639380/fractal-design-era-2-silver-mini-itx-gaming-design""}, {""retailer"": ""computeruniverse.net"", ""price"": ""220"", ""url"": ""https://www.gputracker.eu/si-click/7/3639381/fractal-design-era-2-charcoal-gray-mini-itx-gaming""}, {""retailer"": ""computeruniverse.net"", ""price"": ""220"", ""url"": ""https://www.gputracker.eu/si-click/7/3639382/fractal-design-era-2-midnight-blue-mini-itx-gaming""}, {""retailer"": ""ldlc.com"", ""price"": ""270"", ""url"": ""https://www.gputracker.eu/si-click/7/3477872/fractal-design-era-2-argent""}, {""retailer"": ""ldlc.com"", ""price"": ""270"", ""url"": ""https://www.gputracker.eu/si-click/7/3477874/fractal-design-era-2-noir""}]"
MSI MPG Sekira 500P ATX Mid Tower Case (MPG SEKIRA 500P),https://m.media-amazon.com/images/I/31umth3wtIL.jpg,https://pcpartpicker.com/product/rfD7YJ/msi-mpg-sekira-500p-atx-mid-tower-case-mpg-sekira-500p,ATX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""199"", ""url"": ""https://www.gputracker.eu/si-click/7/3639359/msi-mpg-sekira-500p-midi-tower-rgb-gaming-gehause-""}]"
NZXT H9 Elite ATX Mid Tower Case (CM-H91EW-01),https://cdna.pcpartpicker.com/static/forever/images/product/b1bef448b0e5397e703971eef3a08e40.256p.jpg,https://pcpartpicker.com/product/mWYmP6/nzxt-h9-elite-atx-mid-tower-case-cm-h91ew-01,ATX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""198"", ""url"": ""https://www.gputracker.eu/si-click/7/3639364/nzxt-h9-elite-white-midi-tower-atx-gaming-gehause-""}, {""retailer"": ""ldlc.com"", ""price"": ""250"", ""url"": ""https://www.gputracker.eu/si-click/7/2126873/nzxt-h9-elite-blanc""}, {""retailer"": ""ldlc.com"", ""price"": ""250"", ""url"": ""https://www.gputracker.eu/si-click/7/2126874/nzxt-h9-elite-noir""}, {""retailer"": ""reichelt.de"", ""price"": ""255"", ""url"": ""https://www.gputracker.eu/si-click/7/3547985/nzxt-cm-h91eb-01-nzxt-h9-elite-black""}]"
NZXT H9 Elite ATX Mid Tower Case (CM-H91EB-01),https://cdna.pcpartpicker.com/static/forever/images/product/3343638ac7c51fa6e94ae27e5413fa37.256p.jpg,https://pcpartpicker.com/product/8XmmP6/nzxt-h9-elite-atx-mid-tower-case-cm-h91eb-01,ATX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""198"", ""url"": ""https://www.gputracker.eu/si-click/7/3639364/nzxt-h9-elite-white-midi-tower-atx-gaming-gehause-""}, {""retailer"": ""ldlc.com"", ""price"": ""250"", ""url"": ""https://www.gputracker.eu/si-click/7/2126873/nzxt-h9-elite-blanc""}, {""retailer"": ""ldlc.com"", ""price"": ""250"", ""url"": ""https://www.gputracker.eu/si-click/7/2126874/nzxt-h9-elite-noir""}, {""retailer"": ""reichelt.de"", ""price"": ""255"", ""url"": ""https://www.gputracker.eu/si-click/7/3547985/nzxt-cm-h91eb-01-nzxt-h9-elite-black""}]"
Gigabyte AORUS C500 GLASS ATX Mid Tower Case (GB-AC500G),https://cdna.pcpartpicker.com/static/forever/images/product/6ededb50175bb10fb26b6f06067b3ba8.256p.jpg,https://pcpartpicker.com/product/4rTp99/gigabyte-aorus-c500-glass-atx-mid-tower-case-gb-ac500g,ATX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""195"", ""url"": ""https://www.gputracker.eu/si-click/7/3639376/gigabyte-aorus-c500-glass-midi-tower-gaming-gehaus""}]"
Fractal Design Terra Mini ITX Desktop Case (FD-C-TER1N-01),https://cdna.pcpartpicker.com/static/forever/images/product/93603f04dde2fe42335d278e66b80c4d.256p.jpg,https://pcpartpicker.com/product/GrMMnQ/fractal-design-terra-mini-itx-desktop-case-fd-c-ter1n-01,ITX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""192"", ""url"": ""https://www.gputracker.eu/si-click/7/3639371/fractal-design-terra-silver-mini-gaming-gehause-mi""}, {""retailer"": ""computeruniverse.net"", ""price"": ""218"", ""url"": ""https://www.gputracker.eu/si-click/7/3639362/fractal-design-terra-graphite-mini-gaming-gehause-""}, {""retailer"": ""computeruniverse.net"", ""price"": ""219"", ""url"": ""https://www.gputracker.eu/si-click/7/3639385/fractal-design-terra-jade-mini-gaming-gehause-mitx""}]"
Fractal Design Terra Mini ITX Desktop Case (FD-C-TER1N-03),https://cdna.pcpartpicker.com/static/forever/images/product/46f3b3672c252def1f9cc56db0a11b61.256p.jpg,https://pcpartpicker.com/product/rpKscf/fractal-design-terra-mini-itx-desktop-case-fd-c-ter1n-03,ITX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""192"", ""url"": ""https://www.gputracker.eu/si-click/7/3639371/fractal-design-terra-silver-mini-gaming-gehause-mi""}, {""retailer"": ""computeruniverse.net"", ""price"": ""218"", ""url"": ""https://www.gputracker.eu/si-click/7/3639362/fractal-design-terra-graphite-mini-gaming-gehause-""}, {""retailer"": ""computeruniverse.net"", ""price"": ""219"", ""url"": ""https://www.gputracker.eu/si-click/7/3639385/fractal-design-terra-jade-mini-gaming-gehause-mitx""}]"
Fractal Design Terra Mini ITX Desktop Case (FD-C-TER1N-02),https://cdna.pcpartpicker.com/static/forever/images/product/45f93e757b99ed190cc286efeb777c1b.256p.jpg,https://pcpartpicker.com/product/kqHqqs/fractal-design-terra-mini-itx-desktop-case-fd-c-ter1n-02,ITX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""192"", ""url"": ""https://www.gputracker.eu/si-click/7/3639371/fractal-design-terra-silver-mini-gaming-gehause-mi""}, {""retailer"": ""computeruniverse.net"", ""price"": ""218"", ""url"": ""https://www.gputracker.eu/si-click/7/3639362/fractal-design-terra-graphite-mini-gaming-gehause-""}, {""retailer"": ""computeruniverse.net"", ""price"": ""219"", ""url"": ""https://www.gputracker.eu/si-click/7/3639385/fractal-design-terra-jade-mini-gaming-gehause-mitx""}]"
MSI MPG Sekira 500G ATX Mid Tower Case (MPG SEKIRA 500G),https://m.media-amazon.com/images/I/31Adfb2lk+L.jpg,https://pcpartpicker.com/product/8BcRsY/msi-mpg-sekira-500g-atx-mid-tower-case-mpg-sekira-500g,ATX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""167"", ""url"": ""https://www.gputracker.eu/si-click/7/3639331/msi-mpg-sekira-500g-midi-tower-rgb-gaming-gehause-""}]"
be quiet! Silent Base 802 ATX Mid Tower Case (BGW39),https://cdna.pcpartpicker.com/static/forever/images/product/1061cb3d4da531d4110b0e8a0754ac9f.256p.jpg,https://pcpartpicker.com/product/TVJmP6/be-quiet-silent-base-802-atx-mid-tower-case-bgw39,ATX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""165"", ""url"": ""https://www.gputracker.eu/si-click/7/3639292/be-quiet-silent-base-802-wei-midi-tower-gaming-geh""}, {""retailer"": ""reichelt.de"", ""price"": ""168"", ""url"": ""https://www.gputracker.eu/si-click/7/462670/bqt-bg040-be-quiet-silent-base-802-white""}, {""retailer"": ""computeruniverse.net"", ""price"": ""169"", ""url"": ""https://www.gputracker.eu/si-click/7/3639318/be-quiet-silent-base-802-schwarz-midi-tower-gaming""}, {""retailer"": ""reichelt.de"", ""price"": ""170"", ""url"": ""https://www.gputracker.eu/si-click/7/462669/bqt-bg039-be-quiet-silent-base-802-black""}, {""retailer"": ""reichelt.de"", ""price"": ""170"", ""url"": ""https://www.gputracker.eu/si-click/7/462672/bqt-bgw40-be-quiet-silent-base-802-window-white""}, {""retailer"": ""computeruniverse.net"", ""price"": ""171"", ""url"": ""https://www.gputracker.eu/si-click/7/3639330/be-quiet-silent-base-802-wei-midi-tower-gaming-geh""}, {""retailer"": ""computeruniverse.net"", ""price"": ""177"", ""url"": ""https://www.gputracker.eu/si-click/7/3639326/be-quiet-silent-base-802-schwarz-midi-tower-gaming""}, {""retailer"": ""reichelt.de"", ""price"": ""177"", ""url"": ""https://www.gputracker.eu/si-click/7/462671/bqt-bgw39-be-quiet-silent-base-802-window-black""}, {""retailer"": ""ldlc.com"", ""price"": ""180"", ""url"": ""https://www.gputracker.eu/si-click/7/466978/be-quiet-silent-base-802-blanc""}, {""retailer"": ""ldlc.com"", ""price"": ""187"", ""url"": ""https://www.gputracker.eu/si-click/7/466979/be-quiet-silent-base-802-noir""}]"
be quiet! Silent Base 802 ATX Mid Tower Case (BG039),https://cdna.pcpartpicker.com/static/forever/images/product/66d27e62caacc19c10634eac3f89880e.256p.jpg,https://pcpartpicker.com/product/Y8n8TW/be-quiet-silent-base-802-atx-mid-tower-case-bg039,ATX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""165"", ""url"": ""https://www.gputracker.eu/si-click/7/3639292/be-quiet-silent-base-802-wei-midi-tower-gaming-geh""}, {""retailer"": ""reichelt.de"", ""price"": ""168"", ""url"": ""https://www.gputracker.eu/si-click/7/462670/bqt-bg040-be-quiet-silent-base-802-white""}, {""retailer"": ""computeruniverse.net"", ""price"": ""169"", ""url"": ""https://www.gputracker.eu/si-click/7/3639318/be-quiet-silent-base-802-schwarz-midi-tower-gaming""}, {""retailer"": ""reichelt.de"", ""price"": ""170"", ""url"": ""https://www.gputracker.eu/si-click/7/462669/bqt-bg039-be-quiet-silent-base-802-black""}, {""retailer"": ""reichelt.de"", ""price"": ""170"", ""url"": ""https://www.gputracker.eu/si-click/7/462672/bqt-bgw40-be-quiet-silent-base-802-window-white""}, {""retailer"": ""computeruniverse.net"", ""price"": ""171"", ""url"": ""https://www.gputracker.eu/si-click/7/3639330/be-quiet-silent-base-802-wei-midi-tower-gaming-geh""}, {""retailer"": ""computeruniverse.net"", ""price"": ""177"", ""url"": ""https://www.gputracker.eu/si-click/7/3639326/be-quiet-silent-base-802-schwarz-midi-tower-gaming""}, {""retailer"": ""reichelt.de"", ""price"": ""177"", ""url"": ""https://www.gputracker.eu/si-click/7/462671/bqt-bgw39-be-quiet-silent-base-802-window-black""}, {""retailer"": ""ldlc.com"", ""price"": ""180"", ""url"": ""https://www.gputracker.eu/si-click/7/466978/be-quiet-silent-base-802-blanc""}, {""retailer"": ""ldlc.com"", ""price"": ""187"", ""url"": ""https://www.gputracker.eu/si-click/7/466979/be-quiet-silent-base-802-noir""}]"
be quiet! Silent Base 802 ATX Mid Tower Case (BGW40),https://cdna.pcpartpicker.com/static/forever/images/product/d1857a7edc13f375f2decb1f9bfd382b.256p.jpg,https://pcpartpicker.com/product/ZjtKHx/be-quiet-silent-base-802-atx-mid-tower-case-bgw40,ATX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""165"", ""url"": ""https://www.gputracker.eu/si-click/7/3639292/be-quiet-silent-base-802-wei-midi-tower-gaming-geh""}, {""retailer"": ""reichelt.de"", ""price"": ""168"", ""url"": ""https://www.gputracker.eu/si-click/7/462670/bqt-bg040-be-quiet-silent-base-802-white""}, {""retailer"": ""computeruniverse.net"", ""price"": ""169"", ""url"": ""https://www.gputracker.eu/si-click/7/3639318/be-quiet-silent-base-802-schwarz-midi-tower-gaming""}, {""retailer"": ""reichelt.de"", ""price"": ""170"", ""url"": ""https://www.gputracker.eu/si-click/7/462669/bqt-bg039-be-quiet-silent-base-802-black""}, {""retailer"": ""reichelt.de"", ""price"": ""170"", ""url"": ""https://www.gputracker.eu/si-click/7/462672/bqt-bgw40-be-quiet-silent-base-802-window-white""}, {""retailer"": ""computeruniverse.net"", ""price"": ""171"", ""url"": ""https://www.gputracker.eu/si-click/7/3639330/be-quiet-silent-base-802-wei-midi-tower-gaming-geh""}, {""retailer"": ""computeruniverse.net"", ""price"": ""177"", ""url"": ""https://www.gputracker.eu/si-click/7/3639326/be-quiet-silent-base-802-schwarz-midi-tower-gaming""}, {""retailer"": ""reichelt.de"", ""price"": ""177"", ""url"": ""https://www.gputracker.eu/si-click/7/462671/bqt-bgw39-be-quiet-silent-base-802-window-black""}, {""retailer"": ""ldlc.com"", ""price"": ""180"", ""url"": ""https://www.gputracker.eu/si-click/7/466978/be-quiet-silent-base-802-blanc""}, {""retailer"": ""ldlc.com"", ""price"": ""187"", ""url"": ""https://www.gputracker.eu/si-click/7/466979/be-quiet-silent-base-802-noir""}]"
be quiet! Silent Base 802 ATX Mid Tower Case (BG040),https://cdna.pcpartpicker.com/static/forever/images/product/c6dd79bcdf0f7a1b6b73b267231f4e8e.256p.jpg,https://pcpartpicker.com/product/4wNgXL/be-quiet-silent-base-802-atx-mid-tower-case-bg040,ATX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""165"", ""url"": ""https://www.gputracker.eu/si-click/7/3639292/be-quiet-silent-base-802-wei-midi-tower-gaming-geh""}, {""retailer"": ""reichelt.de"", ""price"": ""168"", ""url"": ""https://www.gputracker.eu/si-click/7/462670/bqt-bg040-be-quiet-silent-base-802-white""}, {""retailer"": ""computeruniverse.net"", ""price"": ""169"", ""url"": ""https://www.gputracker.eu/si-click/7/3639318/be-quiet-silent-base-802-schwarz-midi-tower-gaming""}, {""retailer"": ""reichelt.de"", ""price"": ""170"", ""url"": ""https://www.gputracker.eu/si-click/7/462669/bqt-bg039-be-quiet-silent-base-802-black""}, {""retailer"": ""reichelt.de"", ""price"": ""170"", ""url"": ""https://www.gputracker.eu/si-click/7/462672/bqt-bgw40-be-quiet-silent-base-802-window-white""}, {""retailer"": ""computeruniverse.net"", ""price"": ""171"", ""url"": ""https://www.gputracker.eu/si-click/7/3639330/be-quiet-silent-base-802-wei-midi-tower-gaming-geh""}, {""retailer"": ""computeruniverse.net"", ""price"": ""177"", ""url"": ""https://www.gputracker.eu/si-click/7/3639326/be-quiet-silent-base-802-schwarz-midi-tower-gaming""}, {""retailer"": ""reichelt.de"", ""price"": ""177"", ""url"": ""https://www.gputracker.eu/si-click/7/462671/bqt-bgw39-be-quiet-silent-base-802-window-black""}, {""retailer"": ""ldlc.com"", ""price"": ""180"", ""url"": ""https://www.gputracker.eu/si-click/7/466978/be-quiet-silent-base-802-blanc""}, {""retailer"": ""ldlc.com"", ""price"": ""187"", ""url"": ""https://www.gputracker.eu/si-click/7/466979/be-quiet-silent-base-802-noir""}]"
NZXT H7 Elite ATX Mid Tower Case (CM-H71EB-01),https://cdna.pcpartpicker.com/static/forever/images/product/5f43d0e43700045fdf9938fa5bc8632f.256p.jpg,https://pcpartpicker.com/product/XNmmP6/nzxt-h7-elite-atx-mid-tower-case-cm-h71eb-01,ATX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""159"", ""url"": ""https://www.gputracker.eu/si-click/7/3639337/nzxt-h7-elite-white-2023-rgb-midi-tower-atx-gaming""}, {""retailer"": ""reichelt.de"", ""price"": ""186"", ""url"": ""https://www.gputracker.eu/si-click/7/3547981/nzxt-cm-h71ew-02-nzxt-h5-elite-2023-white""}]"
NZXT H7 Elite ATX Mid Tower Case (CM-H71EW-01),https://cdna.pcpartpicker.com/static/forever/images/product/6e12f001dabebc1f9a50c8105f5dbd7b.256p.jpg,https://pcpartpicker.com/product/vcKKHx/nzxt-h7-elite-atx-mid-tower-case-cm-h71ew-01,ATX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""159"", ""url"": ""https://www.gputracker.eu/si-click/7/3639337/nzxt-h7-elite-white-2023-rgb-midi-tower-atx-gaming""}, {""retailer"": ""reichelt.de"", ""price"": ""186"", ""url"": ""https://www.gputracker.eu/si-click/7/3547981/nzxt-cm-h71ew-02-nzxt-h5-elite-2023-white""}]"
Fractal Design Torrent Compact RGB ATX Mid Tower Case (FD-C-TOR1C-02),https://cdna.pcpartpicker.com/static/forever/images/product/858f5392beba15d3b137d162840dbf20.256p.jpg,https://pcpartpicker.com/product/VVXJ7P/fractal-design-torrent-compact-rgb-atx-mid-tower-case-fd-c-tor1c-02,ATX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""159"", ""url"": ""https://www.gputracker.eu/si-click/7/3639332/fractal-design-torrent-compact-rgb-black-tg-light-""}, {""retailer"": ""computeruniverse.net"", ""price"": ""169"", ""url"": ""https://www.gputracker.eu/si-click/7/3639328/fractal-design-torrent-compact-rgb-white-clear-tin""}]"
Fractal Design Torrent Compact RGB ATX Mid Tower Case (FD-C-TOR1C-05),https://cdna.pcpartpicker.com/static/forever/images/product/4b0d54eb046324b090a9dcf7d28b5d0a.256p.jpg,https://pcpartpicker.com/product/gc3gXL/fractal-design-torrent-compact-rgb-atx-mid-tower-case-fd-c-tor1c-05,ATX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""159"", ""url"": ""https://www.gputracker.eu/si-click/7/3639332/fractal-design-torrent-compact-rgb-black-tg-light-""}, {""retailer"": ""computeruniverse.net"", ""price"": ""169"", ""url"": ""https://www.gputracker.eu/si-click/7/3639328/fractal-design-torrent-compact-rgb-white-clear-tin""}]"
Fractal Design Ridge Mini ITX Tower Case (FD-C-RID1N-01),https://cdna.pcpartpicker.com/static/forever/images/product/bdfe51793699c9f08ce3363430bd0a35.256p.jpg,https://pcpartpicker.com/product/y2t9TW/fractal-design-ridge-mini-itx-tower-case-fd-c-rid1n-01,ITX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""156"", ""url"": ""https://www.gputracker.eu/si-click/7/3639313/fractal-design-ridge-mini-gaming-gehause-mitx-wei""}]"
Fractal Design Ridge Mini ITX Tower Case (FD-C-RID1N-02),https://cdna.pcpartpicker.com/static/forever/images/product/2fe8a618c9d9012e0d6bf479ac7d959e.256p.jpg,https://pcpartpicker.com/product/dTXJ7P/fractal-design-ridge-mini-itx-tower-case-fd-c-rid1n-02,ITX,"[{""retailer"": ""computeruniverse.net"", ""price"": ""156"", ""url"": ""https://www.gputracker.eu/si-click/7/3639313/fractal-design-ridge-mini-gaming-gehause-mitx-wei""}]"
