name,core_count,core_clock,boost_clock,tdp,graphics,smt,brand,series,model,cpu_mark,thread_mark,socket,offers,image
AMD Athlon X4 530,4,2.0,,25,,False,AMD,Athlon,X4 530,1786,690,AM1,"[{""retailer"": ""eBay"", ""price"": ""24.9"", ""url"": ""https://geizhals.de/redir/AgAAAP2D2TKQ--w9De70kI3rJ40it21WElzwvcKn83noRr0amKA_l00OTCZmqwsAFNUKablw9Luyg1ObaxQsuXHbtvQd0keXLqDK4mco61i37uXf4WNFxBDee3EPMFX4P3kkWz4CZ_Nd7wTkmzUKX3d_w6BNbyzEeoHsIWDznllyFo4cGZ5IEG9z-XEEbcDS5RRG6-yOPDwB5jJMerY5BG-6fkgFwTFgO1qlvBsa8YyCD2CYGDIg2OSZsElTn_dPcozsXXjUuXmmc6PArgxUFHwG3cb_ngPQbDb4D5-kZzTdZPeW"", ""source"": ""geizhals""}, {""retailer"": ""Proshop.de"", ""price"": ""39.99"", ""url"": ""https://geizhals.de/redir/AgAAAPUkoVKGiMEztI3RsZYM_2cflWZXOX5zj8yOi5dOuz94Bg0YpEiXsPrraIz9MOhWqu1EI1XlagjfVLfAmqE5jruNxYRYDF87yV2sdn3oZ2a3ujEIzbanAeQMqwa_tCyud9ezqnlpzhOya7pGa50EOsh4q_s7ZF3NKB6l-pyni9DhYstjnL5-mmabwaQdEFGvc5v5AAi9i013GO5WSK6CGKpbYHWNXPSXwiPyYuVygoHHi4c6Wj55KYAZdqDs-tU_clS5csezrX9D3J-hfhI1Lvw"", ""source"": ""geizhals""}, {""retailer"": ""galaxus"", ""price"": ""48.28"", ""url"": ""https://geizhals.de/redir/AgAAAMpRBuvqBJF9zeg_ZxY50NxJaKHui4kljD5nAfhsT4X296nnfQg8ZFy5_fRqIyhs4SYuUmmpZ0AKeg1A9KY4tTHzFJf23s3aKMktYisD4C7dGEeU5nhOrQ3fi4PoZGXvmDXGY5fjva5Y3Z1xdWgYV3RAC9oiSDByisPZes8fWiUHvqKHNFbL8SVX3UqSTduftjEjqvVpp9lahAP6GgrNFX3QvAl11t8nSt1EEog1rg3-PSCFaiuL5WfpiXjAELqBGoUVDltQUUEp_12nhmZ0jyN57PcAVPZXD0BZmg3H10p0eNS5eaZzo8CuDFQUfAbdxjPUZyWKz4MYyaQR5CbOJsM"", ""source"": ""geizhals""}, {""retailer"": ""Amazon"", ""price"": ""49.99"", ""url"": ""https://geizhals.de/redir/AgAAAA6yy-SBKo5reUpayJ3gN33dX33nfe9sNx-mhVqm-HVjLCYpPPjV_InmSFYnLFI7CeEpT6VkVkQroY6ZXpWD5MLts5Bl2MiB_2swf0eJBk1CNjTN119d0t1AOWdO_zD_01jahv-WyWJYgSyRepzxuRqDbqVVC1-7xf26TmccLZHZEmSLu96aIhxSpuuMWqiLkAkSoSiZguwCgxfKQtUlJW4PkPniUVWLRQOTvMFRSwGOfGVnlsmGKWtEZOxm-0Kxjw"", ""source"": ""geizhals""}]",https://gzhls.at/i/41/65/1664165-n0.jpg
AMD Athlon X4 740,4,3.2,,65,,False,AMD,Athlon,X4 740,2637,1355,FM2,[],
AMD Athlon X4 750K,4,3.4,,65,,False,AMD,Athlon,X4 750K,2625,1497,FM2,[],
AMD Athlon X4 760K,4,3.8,4.1,100,,False,AMD,Athlon,X4 760K,2980,1533,FM2,[],
AMD Athlon X4 840,4,3.1,3.8,65,,False,AMD,Athlon,X4 840,3319,1487,FM2+,[],
AMD Athlon X4 845,4,3.5,3.8,65,,False,AMD,Athlon,X4 845,3781,1670,FM2+,[],
AMD Athlon X4 860K,4,3.7,4.0,95,,False,AMD,Athlon,X4 860K,3435,1525,FM2+,[],
AMD Athlon X4 870K,4,3.9,4.1,95,,False,AMD,Athlon,X4 870K,3410,1558,FM2+,[],
AMD Athlon X4 880K,4,4.0,4.2,95,,False,AMD,Athlon,X4 880K,3663,1633,FM2+,[],
AMD Athlon X4 950,4,3.5,3.8,65,,False,AMD,Athlon,X4 950,3598,1637,AM4,"[{""retailer"": ""eBay"", ""price"": ""24.9"", ""url"": ""https://geizhals.de/redir/AgAAAP2D2TKQ--w9De70kI3rJ40it21WElzwvcKn83noRr0amKA_l00OTCZmqwsAFNUKablw9Luyg1ObaxQsuXHbtvQd0keXLqDK4mco61i37uXf4WNFxBDee3EPMFX4P3kkWz4CZ_Nd7wTkmzUKX3d_w6BNbyzEeoHsIWDznllyFo4cGZ5IEG9z-XEEbcDS5RRG6-yOPDwB5jJMerY5BG-6fkgFwTFgO1qlvBsa8YyCD2CYGDIg2OSZsElTn_dPcozsXXjUuXmmc6PArgxUFHwG3cb_ngPQbDb4D5-kZzTdZPeW"", ""source"": ""geizhals""}, {""retailer"": ""Proshop.de"", ""price"": ""39.99"", ""url"": ""https://geizhals.de/redir/AgAAAPUkoVKGiMEztI3RsZYM_2cflWZXOX5zj8yOi5dOuz94Bg0YpEiXsPrraIz9MOhWqu1EI1XlagjfVLfAmqE5jruNxYRYDF87yV2sdn3oZ2a3ujEIzbanAeQMqwa_tCyud9ezqnlpzhOya7pGa50EOsh4q_s7ZF3NKB6l-pyni9DhYstjnL5-mmabwaQdEFGvc5v5AAi9i013GO5WSK6CGKpbYHWNXPSXwiPyYuVygoHHi4c6Wj55KYAZdqDs-tU_clS5csezrX9D3J-hfhI1Lvw"", ""source"": ""geizhals""}, {""retailer"": ""galaxus"", ""price"": ""48.28"", ""url"": ""https://geizhals.de/redir/AgAAAMpRBuvqBJF9zeg_ZxY50NxJaKHui4kljD5nAfhsT4X296nnfQg8ZFy5_fRqIyhs4SYuUmmpZ0AKeg1A9KY4tTHzFJf23s3aKMktYisD4C7dGEeU5nhOrQ3fi4PoZGXvmDXGY5fjva5Y3Z1xdWgYV3RAC9oiSDByisPZes8fWiUHvqKHNFbL8SVX3UqSTduftjEjqvVpp9lahAP6GgrNFX3QvAl11t8nSt1EEog1rg3-PSCFaiuL5WfpiXjAELqBGoUVDltQUUEp_12nhmZ0jyN57PcAVPZXD0BZmg3H10p0eNS5eaZzo8CuDFQUfAbdxjPUZyWKz4MYyaQR5CbOJsM"", ""source"": ""geizhals""}, {""retailer"": ""Amazon"", ""price"": ""49.99"", ""url"": ""https://geizhals.de/redir/AgAAAA6yy-SBKo5reUpayJ3gN33dX33nfe9sNx-mhVqm-HVjLCYpPPjV_InmSFYnLFI7CeEpT6VkVkQroY6ZXpWD5MLts5Bl2MiB_2swf0eJBk1CNjTN119d0t1AOWdO_zD_01jahv-WyWJYgSyRepzxuRqDbqVVC1-7xf26TmccLZHZEmSLu96aIhxSpuuMWqiLkAkSoSiZguwCgxfKQtUlJW4PkPniUVWLRQOTvMFRSwGOfGVnlsmGKWtEZOxm-0Kxjw"", ""source"": ""geizhals""}]",https://gzhls.at/i/41/65/1664165-n0.jpg
AMD Athlon X4 970,4,3.8,4.0,65,,False,AMD,Athlon,X4 970,3472,1616,AM4,[],
AMD E2-3200,2,2.4,,65,Radeon HD 6370D,False,AMD,E2,3200,968,971,FM1,[],
AMD FX-4100,4,3.6,,95,,False,AMD,FX,4100,2615,1286,AM3+,[],
