name,image,url,brand,VRAM,model,vram_gb,g3d_mark,g2d_mark,tdp,product_code,offers
XFX RX-68LMATFD8 Radeon RX 6800 16 GB Video Card (RX-68LMATFD8),https://cdna.pcpartpicker.com/static/forever/images/product/459d929e55cbae3e7fb511851762623b.256p.jpg,https://pcpartpicker.com/product/7BfFf7/xfx-radeon-rx-6800-16-gb-video-card-rx-68lmatfd8,Radeon,16,RX 6800,16,22121,983,250,RX-68LMATFD8,[]
Asus RX6800-16G Radeon RX 6800 16 GB Video Card (RX6800-16G),https://cdna.pcpartpicker.com/static/forever/images/product/ce52490f538c383c0983992ba4faa551.256p.jpg,https://pcpartpicker.com/product/VX9tt6/asus-radeon-rx-6800-16-gb-video-card-rx6800-16g,Radeon,16,RX 6800,16,22121,983,250,RX6800-16G,[]
PowerColor AXRX-6800-16GBD6-M2DHC Radeon RX 6800 16 GB Video Card (AXRX-6800-16GBD6-M2DHC),https://cdna.pcpartpicker.com/static/forever/images/product/13912cb49d5e54fd0dfe114fdf3536d2.256p.jpg,https://pcpartpicker.com/product/9LVG3C/powercolor-radeon-rx-6800-16-gb-video-card-axrx-6800-16gbd6-m2dhc,Radeon,16,RX 6800,16,22121,983,250,AXRX-6800-16GBD6-M2DHC,[]
PowerColor Red Devil Limited Edition Radeon RX 6800 XT 16 GB Video Card (AXRX 6800XT 16GBD6-2DHCE/OC),https://cdna.pcpartpicker.com/static/forever/images/product/48cff4b199aca94cc2ef80a3e62eb846.256p.jpg,https://pcpartpicker.com/product/KqK2FT/powercolor-radeon-rx-6800-xt-16-gb-red-devil-limited-edition-video-card-axrx-6800xt-16gbd6-2dhceoc,Radeon,16,RX 6800 XT,16,24985,1021,300,AXRX 6800XT 16GBD6-2DHCE/OC,[]
PowerColor Red Devil OC Radeon RX 6800 16 GB Video Card (AXRX 6800 16GBD6-3DHE/OC),https://cdna.pcpartpicker.com/static/forever/images/product/6f26533afe4421d12684b044bf4e63b5.256p.jpg,https://pcpartpicker.com/product/Qtxbt6/powercolor-radeon-rx-6800-16-gb-red-devil-oc-video-card-axrx-6800-16gbd6-3dheoc,Radeon,16,RX 6800,16,22121,983,250,AXRX 6800 16GBD6-3DHE/OC,[]
SONNET Technologies S-RX6800XT-16G Radeon RX 6800 XT 16 GB Video Card (S-RX6800XT-16G),https://m.media-amazon.com/images/I/41RwfFHglQL.jpg,https://pcpartpicker.com/product/VDRYcf/sonnet-technologies-radeon-rx-6800-xt-16-gb-video-card-s-rx6800xt-16g,Radeon,16,RX 6800 XT,16,24985,1021,300,S-RX6800XT-16G,[]
PowerColor Red Devil Limited Edition OC Radeon RX 6800 16 GB Video Card (AXRX 6800 16GBD6-2DHCE/OC),https://cdna.pcpartpicker.com/static/forever/images/product/b9835fb606a4737bc8c04cae13726d67.256p.jpg,https://pcpartpicker.com/product/Qd848d/powercolor-radeon-rx-6800-16-gb-red-devil-limited-edition-oc-video-card-axrx-6800-16gbd6-2dhceoc,Radeon,16,RX 6800,16,22121,983,250,AXRX 6800 16GBD6-2DHCE/OC,[]
MSI GAMING TRIO Radeon RX 6800 16 GB Video Card (RX 6800 GAMING TRIO 16G),https://static/forever/img/no-image.png,https://pcpartpicker.com/product/9VH7YJ/msi-gaming-trio-radeon-rx-6800-16-gb-video-card-rx-6800-gaming-trio-16g,Radeon,16,RX 6800,16,22121,983,250,RX 6800 GAMING TRIO 16G,[]
Gigabyte GAMING Radeon RX 6800 XT 16 GB Video Card (GV-R68XTGAMING-16GD),https://static/forever/img/no-image.png,https://pcpartpicker.com/product/HrpzK8/gigabyte-gaming-radeon-rx-6800-xt-16-gb-video-card-gv-r68xtgaming-16gd,Radeon,16,RX 6800 XT,16,24985,1021,300,GV-R68XTGAMING-16GD,[]
XFX Speedster MERC 319 Black Radeon RX 6900 XT 16 GB Video Card (RX-69XTATBD9),https://m.media-amazon.com/images/I/41IIuOJRz8L.jpg,https://pcpartpicker.com/product/FgxRsY/xfx-radeon-rx-6900-xt-16-gb-speedster-merc-319-black-video-card-rx-69xtatbd9,Radeon,16,RX 6900 XT,16,26728,1048,300,RX-69XTATBD9,"[{""retailer"": ""Amazon.de"", ""price"": ""1628.52"", ""url"": ""https://geizhals.de/redir/AgAAALh8vXuC_3qPcDUnJV0dXoOaXgJiRN5HQc6kb0T-R5DOLCYpPPjV_InmSFYnLFI7CeEpT6VkVkQroY6ZXpWD5MJj4nUl43uBNONVZg1ajsxG_Qgb7hxoviGgLUtDuh4hDSCP_92CexNUWb7NqcoaXJlZ6fwaLDID3PKDyRSqDM5yyWPHm2mAxzQWVOza4RhjEWmS8xvOgSnrzDaEDtB_ea4MlO_DW4hQKDjJDjTMFR3xLqEKPV8pgY95YW7IThrYUw"", ""source"": ""geizhals""}]"
